id,currentBarWidth,splitOnRecType,stimulusTag,currentMeanLevel,currentAbsContrast,splitOnExperimentDate,celllabel,splitOnDelTag,backgroundIntensity,MeanRespOn,SEM,nodeid,leafid
46,-73.3333333333333,"cell-attach","intensity",0.5,0.1,"2017/01/12","Cell","keep",0.2,69.9650174912542,0,2,46
47,-73.3333333333333,"exc","intensity",0.5,0.1,"2017/01/12","Cell","keep",0.2,-487.021492287754,0,2,47
48,-73.3333333333333,"inh","intensity",0.5,0.1,"2017/01/12","Cell","keep",0.2,-18.9179379311157,0,2,48
49,-46.6666666666667,"cell-attach","grating",0.25,0.1,"2017/01/12","Cell","keep",0.2,2.97693588038261,2.01806661836802,2,49
50,-46.6666666666667,"exc","grating",0.25,0.1,"2017/01/12","Cell","keep",0.2,-40.3609872005912,0,2,50
51,-46.6666666666667,"inh","grating",0.25,0.1,"2017/01/12","Cell","keep",0.2,-26.677152057139,0,2,51
52,-46.6666666666667,"cell-attach","intensity",0.25,0.1,"2017/01/12","Cell","keep",0.2,1.81532621316679,3.18217503620852,2,52
53,-46.6666666666667,"exc","intensity",0.25,0.1,"2017/01/12","Cell","keep",0.2,-49.5291330229851,0,2,53
54,-46.6666666666667,"inh","intensity",0.25,0.1,"2017/01/12","Cell","keep",0.2,-19.3956733020599,0,2,54
55,-46.6666666666667,"cell-attach","grating",0.3,0.1,"2017/01/12","Cell","keep",0.2,10.292430212971,9.69757478453029,2,55
56,-46.6666666666667,"exc","grating",0.3,0.1,"2017/01/12","Cell","keep",0.2,-147.938246953661,0,2,56
57,-46.6666666666667,"inh","grating",0.3,0.1,"2017/01/12","Cell","keep",0.2,-4.36229634782366,0,2,57
58,-46.6666666666667,"cell-attach","intensity",0.3,0.1,"2017/01/12","Cell","keep",0.2,-2.7380510040175,2.26444774660718,2,58
59,-46.6666666666667,"exc","intensity",0.3,0.1,"2017/01/12","Cell","keep",0.2,-176.297963292072,0,2,59
60,-46.6666666666667,"inh","intensity",0.3,0.1,"2017/01/12","Cell","keep",0.2,1.2208382766768,0,2,60
61,-46.6666666666667,"cell-attach","grating",0.4,0.1,"2017/01/12","Cell","keep",0.2,21.0299297716817,28.9450827220715,2,61
62,-46.6666666666667,"exc","grating",0.4,0.1,"2017/01/12","Cell","keep",0.2,-282.293510123772,0,2,62
63,-46.6666666666667,"inh","grating",0.4,0.1,"2017/01/12","Cell","keep",0.2,-53.5005446235506,0,2,63
64,-46.6666666666667,"cell-attach","intensity",0.4,0.1,"2017/01/12","Cell","keep",0.2,22.1635303478555,22.8114821458976,2,64
65,-46.6666666666667,"exc","intensity",0.4,0.1,"2017/01/12","Cell","keep",0.2,-289.426225675754,0,2,65
66,-46.6666666666667,"inh","intensity",0.4,0.1,"2017/01/12","Cell","keep",0.2,-11.7378344767897,0,2,66
67,-46.6666666666667,"cell-attach","grating",0.5,0.1,"2017/01/12","Cell","keep",0.2,52.1518947628864,52.7956314739973,2,67
68,-46.6666666666667,"exc","grating",0.5,0.1,"2017/01/12","Cell","keep",0.2,-604.701199787234,0,2,68
69,-46.6666666666667,"inh","grating",0.5,0.1,"2017/01/12","Cell","keep",0.2,-14.2425563452505,0,2,69
70,-46.6666666666667,"cell-attach","intensity",0.5,0.1,"2017/01/12","Cell","keep",0.2,32.9558887372199,42.00663000341,2,70
71,-46.6666666666667,"exc","intensity",0.5,0.1,"2017/01/12","Cell","keep",0.2,-660.484685976849,0,2,71
72,-46.6666666666667,"inh","intensity",0.5,0.1,"2017/01/12","Cell","keep",0.2,0.813080121059953,0,2,72
73,-20,"cell-attach","grating",0.25,0.1,"2017/01/12","Cell","keep",0.2,-1.92561958883541,3.07687916178928,2,73
74,-20,"exc","grating",0.25,0.1,"2017/01/12","Cell","keep",0.2,-35.7111634795979,0,2,74
75,-20,"inh","grating",0.25,0.1,"2017/01/12","Cell","keep",0.2,-6.26211270892774,0,2,75
76,-20,"cell-attach","intensity",0.25,0.1,"2017/01/12","Cell","keep",0.2,3.19510488372527,1.79989761502536,2,76
77,-20,"exc","intensity",0.25,0.1,"2017/01/12","Cell","keep",0.2,-31.5122918604573,0,2,77
78,-20,"inh","intensity",0.25,0.1,"2017/01/12","Cell","keep",0.2,-24.4403234207201,0,2,78
79,-20,"cell-attach","grating",0.3,0.1,"2017/01/12","Cell","keep",0.2,7.68771948789831,7.30478426022763,2,79
80,-20,"exc","grating",0.3,0.1,"2017/01/12","Cell","keep",0.2,-123.93070796611,0,2,80
81,-20,"inh","grating",0.3,0.1,"2017/01/12","Cell","keep",0.2,-27.17645351756,0,2,81
82,-20,"cell-attach","intensity",0.3,0.1,"2017/01/12","Cell","keep",0.2,4.35066924733528,5.64183450079066,2,82
83,-20,"exc","intensity",0.3,0.1,"2017/01/12","Cell","keep",0.2,-95.8102996360573,0,2,83
84,-20,"inh","intensity",0.3,0.1,"2017/01/12","Cell","keep",0.2,5.29407248129528,0,2,84
85,-20,"cell-attach","grating",0.4,0.1,"2017/01/12","Cell","keep",0.2,14.4169279454121,15.5655808002153,2,85
86,-20,"exc","grating",0.4,0.1,"2017/01/12","Cell","keep",0.2,-255.312239127504,0,2,86
87,-20,"inh","grating",0.4,0.1,"2017/01/12","Cell","keep",0.2,-1.27704635503968,0,2,87
88,-20,"cell-attach","intensity",0.4,0.1,"2017/01/12","Cell","keep",0.2,22.1491477297399,22.825864764013,2,88
89,-20,"exc","intensity",0.4,0.1,"2017/01/12","Cell","keep",0.2,-405.413276263512,0,2,89
90,-20,"inh","intensity",0.4,0.1,"2017/01/12","Cell","keep",0.2,-89.871689200066,0,2,90
91,-20,"cell-attach","grating",0.5,0.1,"2017/01/12","Cell","keep",0.2,50.7581539036752,49.1918710838326,2,91
92,-20,"exc","grating",0.5,0.1,"2017/01/12","Cell","keep",0.2,-600.749275172008,0,2,92
93,-20,"inh","grating",0.5,0.1,"2017/01/12","Cell","keep",0.2,-2.30417178861817,0,2,93
94,-20,"cell-attach","intensity",0.5,0.1,"2017/01/12","Cell","keep",0.2,43.7343222659074,41.2182014722246,2,94
95,-20,"exc","intensity",0.5,0.1,"2017/01/12","Cell","keep",0.2,-731.9890857971,0,2,95
