id,splitOnRecType,splitOnPatchLocation,stimulusTag,splitOnExperimentDate,imageName,imagePatchIndex,celllabel,splitOnDelTag,currentPatchLocation_1,currentPatchLocation_2,equivalentIntensity,backgroundIntensity,MeanRespOn,SEM,nodeid,leafid
12,"inh","679  707","intensity","2016/08/10","00152",2,"Cell 2 - on parasol","keep",679,707,0.201769017645987,0.199407172495471,-61.7982827799908,98.1730364466693,2,12
13,"cell-attach","1287   606","image","2016/08/10","00152",3,"Cell 2 - on parasol","keep",1287,606,0.251621324798079,0.199407172495471,2.87784856670429,4.73566460626325,2,13
14,"exc","1287   606","image","2016/08/10","00152",3,"Cell 2 - on parasol","keep",1287,606,0.251621324798079,0.199407172495471,-190.442407351052,17.6183150424266,2,14
15,"inh","1287   606","image","2016/08/10","00152",3,"Cell 2 - on parasol","keep",1287,606,0.251621324798079,0.199407172495471,-6.27213838745715,60.2155768988241,2,15
16,"cell-attach","1287   606","intensity","2016/08/10","00152",3,"Cell 2 - on parasol","keep",1287,606,0.251621324798079,0.199407172495471,3.27046220256053,2.4434965247086,2,16
17,"exc","1287   606","intensity","2016/08/10","00152",3,"Cell 2 - on parasol","keep",1287,606,0.251621324798079,0.199407172495471,-145.478478099966,18.8286466386463,2,17
18,"inh","1287   606","intensity","2016/08/10","00152",3,"Cell 2 - on parasol","keep",1287,606,0.251621324798079,0.199407172495471,-159.680834747015,180.566446184608,2,18
19,"cell-attach","533  572","image","2016/08/10","00152",4,"Cell 2 - on parasol","keep",533,572,0.213438314529783,0.199407172495471,1.16994834079775,2.5529417969577,2,19
20,"exc","533  572","image","2016/08/10","00152",4,"Cell 2 - on parasol","keep",533,572,0.213438314529783,0.199407172495471,-18.0248718744581,12.9622136632625,2,20
21,"inh","533  572","image","2016/08/10","00152",4,"Cell 2 - on parasol","keep",533,572,0.213438314529783,0.199407172495471,811.654439443537,246.01479024455,2,21
22,"cell-attach","533  572","intensity","2016/08/10","00152",4,"Cell 2 - on parasol","keep",533,572,0.213438314529783,0.199407172495471,-2.5000290218249,1.81442401529908,2,22
23,"exc","533  572","intensity","2016/08/10","00152",4,"Cell 2 - on parasol","keep",533,572,0.213438314529783,0.199407172495471,-44.972246566572,10.6972876173104,2,23
24,"inh","533  572","intensity","2016/08/10","00152",4,"Cell 2 - on parasol","keep",533,572,0.213438314529783,0.199407172495471,-249.741128130525,59.9705287459552,2,24
25,"cell-attach","690  764","image","2016/08/10","00152",5,"Cell 2 - on parasol","keep",690,764,0.213888053652777,0.199407172495471,-1.72711623436558,3.01741313771694,2,25
26,"exc","690  764","image","2016/08/10","00152",5,"Cell 2 - on parasol","keep",690,764,0.213888053652777,0.199407172495471,20.5077580216025,14.3072008414238,2,26
27,"inh","690  764","image","2016/08/10","00152",5,"Cell 2 - on parasol","keep",690,764,0.213888053652777,0.199407172495471,643.932463447498,29.8749768874461,2,27
28,"cell-attach","690  764","intensity","2016/08/10","00152",5,"Cell 2 - on parasol","keep",690,764,0.213888053652777,0.199407172495471,1.89817289058767,1.85952106385747,2,28
29,"exc","690  764","intensity","2016/08/10","00152",5,"Cell 2 - on parasol","keep",690,764,0.213888053652777,0.199407172495471,-40.9428029840203,14.1855553393226,2,29
30,"inh","690  764","intensity","2016/08/10","00152",5,"Cell 2 - on parasol","keep",690,764,0.213888053652777,0.199407172495471,-163.072226424236,88.1841386274245,2,30
31,"cell-attach","1286   635","image","2016/08/10","00152",6,"Cell 2 - on parasol","keep",1286,635,0.31618548635247,0.199407172495471,13.3636381775579,11.4394369200144,2,31
32,"exc","1286   635","image","2016/08/10","00152",6,"Cell 2 - on parasol","keep",1286,635,0.31618548635247,0.199407172495471,-569.27828989058,49.3183744621581,2,32
33,"inh","1286   635","image","2016/08/10","00152",6,"Cell 2 - on parasol","keep",1286,635,0.31618548635247,0.199407172495471,477.750123562206,222.872414428929,2,33
34,"cell-attach","1286   635","intensity","2016/08/10","00152",6,"Cell 2 - on parasol","keep",1286,635,0.31618548635247,0.199407172495471,9.94815017166548,10.0237229441495,2,34
35,"exc","1286   635","intensity","2016/08/10","00152",6,"Cell 2 - on parasol","keep",1286,635,0.31618548635247,0.199407172495471,-488.009878671987,38.0620486577393,2,35
36,"inh","1286   635","intensity","2016/08/10","00152",6,"Cell 2 - on parasol","keep",1286,635,0.31618548635247,0.199407172495471,487.875052456794,84.4300327378345,2,36
37,"cell-attach","1153   358","image","2016/08/10","00152",7,"Cell 2 - on parasol","keep",1153,358,0.203658256004248,0.199407172495471,-3.02027404061613,3.66666076140054,2,37
