id,splitOnRecType,splitOnExperimentDate,rotation,celllabel,seed,splitOnDelTag,centerSigma,background,contrast,MeanRespOn,SEM,nodeid,leafid
10,"cell-attach","2017/01/12",135,"Cell",1,"keep",30,0.2,1,0.611650306571717,0.555689462437263,5,10
11,"exc","2017/01/12",135,"Cell",1,"keep",30,0.2,1,-38.3678712142677,7.2645144211442,5,11
12,"inh","2017/01/12",135,"Cell",1,"keep",30,0.2,1,-2.73561363069764,7.70603680902598,5,12
13,"cell-attach","2017/01/12",180,"Cell",1,"keep",30,0.2,1,-0.177684645444568,0.286387189025546,5,13
14,"exc","2017/01/12",180,"Cell",1,"keep",30,0.2,1,-46.9099328821519,9.20317788278411,5,14
15,"inh","2017/01/12",180,"Cell",1,"keep",30,0.2,1,-14.2217966574492,11.6333414872498,5,15
16,"cell-attach","2017/01/12",225,"Cell",1,"keep",30,0.2,1,-0.376285327812212,0.38321268640388,5,16
17,"exc","2017/01/12",225,"Cell",1,"keep",30,0.2,1,-36.779222139053,6.85306682696554,5,17
18,"inh","2017/01/12",225,"Cell",1,"keep",30,0.2,1,-40.7920002036008,19.5641264427454,5,18
19,"cell-attach","2017/01/12",270,"Cell",1,"keep",30,0.2,1,0.357400409657243,0.228173233867606,5,19
20,"exc","2017/01/12",270,"Cell",1,"keep",30,0.2,1,-49.1532691890198,10.5430638524106,5,20
21,"inh","2017/01/12",270,"Cell",1,"keep",30,0.2,1,-21.7589624139575,17.3786322750959,5,21
22,"cell-attach","2017/01/12",315,"Cell",1,"keep",30,0.2,1,-0.345691699560694,0.487897503277603,5,22
23,"exc","2017/01/12",315,"Cell",1,"keep",30,0.2,1,-30.4159502746583,9.72580976373991,5,23
24,"inh","2017/01/12",315,"Cell",1,"keep",30,0.2,1,-49.1789321211247,19.4486032550602,5,24
25,"cell-attach","2017/01/12",45,"Cell",1,"keep",60,0.2,0.9,1.28917853775864,1.28917853775864,5,25
26,"cell-attach","2017/01/12",90,"Cell",1,"keep",60,0.2,0.9,0,0,5,26
27,"cell-attach","2017/01/12",135,"Cell",1,"keep",60,0.2,0.9,0,0,5,27
28,"cell-attach","2017/01/12",180,"Cell",1,"keep",60,0.2,0.9,0,0,5,28
29,"cell-attach","2017/01/12",0,"Cell",4,"keep",30,0.2,1,1.54718608373999,1.24836402213824,5,29
30,"exc","2017/01/12",0,"Cell",4,"keep",30,0.2,1,-26.3299984256212,7.48756372139038,5,30
31,"inh","2017/01/12",0,"Cell",4,"keep",30,0.2,1,-12.9249077580879,10.6794230450118,5,31
32,"cell-attach","2017/01/12",45,"Cell",4,"keep",30,0.2,1,0.708265856942398,0.569114543187752,5,32
33,"exc","2017/01/12",45,"Cell",4,"keep",30,0.2,1,-35.6302612265178,7.84203509272942,5,33
34,"inh","2017/01/12",45,"Cell",4,"keep",30,0.2,1,-20.9755001954662,15.4195991762385,5,34
35,"cell-attach","2017/01/12",90,"Cell",4,"keep",30,0.2,1,-0.828815393841579,0.714849848822637,5,35
36,"exc","2017/01/12",90,"Cell",4,"keep",30,0.2,1,-22.532104877742,8.95176199136636,5,36
37,"inh","2017/01/12",90,"Cell",4,"keep",30,0.2,1,0.563161325605149,16.9287320293602,5,37
38,"cell-attach","2017/01/12",135,"Cell",4,"keep",30,0.2,1,-0.191844352938074,0.189794847595696,5,38
