,imageName,Loc_x,Loc_y,cell_id,patchId,spike_NLI,exc_NLI
144,152,1187,597,2016/10/11Cell4,152-1187-597,-0.472021141346,1.0
145,152,377,669,2016/10/11Cell4,152-377-669,0.173689150575,0.131267760103
146,152,695,724,2016/10/11Cell4,152-695-724,-0.32187577337,0.0531390981457
147,152,1272,713,2016/10/11Cell4,152-1272-713,0.0960976180834,1.0
148,152,1158,497,2016/10/11Cell4,152-1158-497,-1.0,1.0
149,152,1254,572,2016/10/11Cell4,152-1254-572,0.206144734344,0.378536639517
150,152,1272,713,2016/10/25Cell1,152-1272-713,0.71643429305,1.0
151,152,533,572,2016/10/25Cell1,152-533-572,-1.0,0.66781177463
152,152,1153,358,2016/10/25Cell1,152-1153-358,1.0,0.80734798059
153,152,1153,358,2016/10/25Cell1,152-1153-358,1.0,0.680486678184
154,152,1153,358,2016/10/25Cell1,152-1153-358,1.0,0.810161355171
155,152,1153,358,2016/10/25Cell1,152-1153-358,1.0,0.684829596469
156,152,1153,358,2016/10/25Cell1,152-1153-358,1.0,0.80734798059
157,152,1153,358,2016/10/25Cell1,152-1153-358,1.0,0.680486678184
158,152,1153,358,2016/10/25Cell1,152-1153-358,1.0,0.810161355171
159,152,1153,358,2016/10/25Cell1,152-1153-358,1.0,0.684829596469
160,152,1153,358,2016/10/25Cell1,152-1153-358,1.0,0.80734798059
161,152,1153,358,2016/10/25Cell1,152-1153-358,1.0,0.680486678184
162,152,1153,358,2016/10/25Cell1,152-1153-358,1.0,0.810161355171
163,152,1153,358,2016/10/25Cell1,152-1153-358,1.0,0.684829596469
164,152,1153,358,2016/10/25Cell1,152-1153-358,1.0,0.80734798059
165,152,1153,358,2016/10/25Cell1,152-1153-358,1.0,0.680486678184
166,152,1153,358,2016/10/25Cell1,152-1153-358,1.0,0.810161355171
167,152,1153,358,2016/10/25Cell1,152-1153-358,1.0,0.684829596469
168,152,679,707,2016/10/25Cell1,152-679-707,-1.0,0.862708212534
169,152,679,707,2016/10/25Cell1,152-679-707,-1.0,0.898007192947
170,152,679,707,2016/10/25Cell1,152-679-707,-1.0,0.861073388576
171,152,679,707,2016/10/25Cell1,152-679-707,-1.0,0.896769402819
172,152,679,707,2016/10/25Cell1,152-679-707,-1.0,0.862708212534
173,152,679,707,2016/10/25Cell1,152-679-707,-1.0,0.898007192947
174,152,679,707,2016/10/25Cell1,152-679-707,-1.0,0.861073388576
175,152,679,707,2016/10/25Cell1,152-679-707,-1.0,0.896769402819
176,152,679,707,2016/10/25Cell1,152-679-707,-1.0,0.862708212534
177,152,679,707,2016/10/25Cell1,152-679-707,-1.0,0.898007192947
178,152,679,707,2016/10/25Cell1,152-679-707,-1.0,0.861073388576
179,152,679,707,2016/10/25Cell1,152-679-707,-1.0,0.896769402819
180,152,679,707,2016/10/25Cell1,152-679-707,-1.0,0.862708212534
181,152,679,707,2016/10/25Cell1,152-679-707,-1.0,0.898007192947
