id,splitOnRecType,stimulusTag,splitOnExperimentDate,imageName,imagePatchIndex,celllabel,splitOnDelTag,MeanRespOn,SEM,nodeid,leafid
56,"exc","intensity","2016/09/13","00152",14,"On parasol1","keep",-79.8389592879242,10.7678644943567,2,56
57,"cell-attach","image","2016/09/13","00152",15,"On parasol1","keep",1.31785667055297,0.981838171938976,2,57
58,"exc","image","2016/09/13","00152",15,"On parasol1","keep",1.91290508251502,2.48330717102429,2,58
59,"cell-attach","intensity","2016/09/13","00152",15,"On parasol1","keep",2.12238745848676,1.96984237896794,2,59
60,"exc","intensity","2016/09/13","00152",15,"On parasol1","keep",4.39752555499249,1.26487682377524,2,60
61,"cell-attach","image","2016/09/13","00152",16,"On parasol1","keep",-0.601633238727017,1.22743390390112,2,61
62,"exc","image","2016/09/13","00152",16,"On parasol1","keep",-0.867433147468296,6.15419324123347,2,62
63,"cell-attach","intensity","2016/09/13","00152",16,"On parasol1","keep",0.0639010894199603,0.218391677617228,2,63
64,"exc","intensity","2016/09/13","00152",16,"On parasol1","keep",-5.00850214686102,2.32246434329509,2,64
65,"cell-attach","image","2016/09/13","00152",17,"On parasol1","keep",10.8510469956223,11.0345062470186,2,65
66,"exc","image","2016/09/13","00152",17,"On parasol1","keep",-193.07222513772,22.3623828245909,2,66
67,"cell-attach","intensity","2016/09/13","00152",17,"On parasol1","keep",10.7645319283617,11.0511750872497,2,67
68,"exc","intensity","2016/09/13","00152",17,"On parasol1","keep",-182.444766982202,19.7771711578954,2,68
69,"cell-attach","image","2016/09/13","00152",18,"On parasol1","keep",0.24940375946144,0.138548646452992,2,69
70,"exc","image","2016/09/13","00152",18,"On parasol1","keep",-18.8206030601804,3.39719947310066,2,70
71,"cell-attach","intensity","2016/09/13","00152",18,"On parasol1","keep",0.131518524997285,0.177591029345327,2,71
72,"exc","intensity","2016/09/13","00152",18,"On parasol1","keep",-19.5426028966259,3.26100555695837,2,72
73,"cell-attach","image","2016/09/13","00152",19,"On parasol1","keep",14.1573462510587,13.962168053299,2,73
74,"exc","image","2016/09/13","00152",19,"On parasol1","keep",-269.611054930416,25.1333523508806,2,74
75,"cell-attach","intensity","2016/09/13","00152",19,"On parasol1","keep",15.2686692767944,14.8818346785548,2,75
76,"exc","intensity","2016/09/13","00152",19,"On parasol1","keep",-256.244089967214,28.5287898858217,2,76
77,"cell-attach","image","2016/09/13","00152",20,"On parasol1","keep",-3.20223737733982,1.9902879907137,2,77
78,"exc","image","2016/09/13","00152",20,"On parasol1","keep",-6.5109208908282,3.62035663824891,2,78
79,"cell-attach","intensity","2016/09/13","00152",20,"On parasol1","keep",0.875901976936594,0.754496633095866,2,79
80,"exc","intensity","2016/09/13","00152",20,"On parasol1","keep",-6.78210170575433,2.02394914110439,2,80
81,"cell-attach","image","2016/09/13","00152",21,"On parasol1","keep",1.52624438049168,2.18797643431229,2,81
82,"exc","image","2016/09/13","00152",21,"On parasol1","keep",-17.08693456284,2.31786441077287,2,82
83,"cell-attach","intensity","2016/09/13","00152",21,"On parasol1","keep",2.39146018902859,2.54421612419286,2,83
84,"exc","intensity","2016/09/13","00152",21,"On parasol1","keep",-15.9527540612333,2.31751703215704,2,84
85,"cell-attach","image","2016/09/13","00152",22,"On parasol1","keep",2.24521188942349,0.888806666817562,2,85
86,"exc","image","2016/09/13","00152",22,"On parasol1","keep",-69.9437856067472,9.71371804893363,2,86
87,"cell-attach","intensity","2016/09/13","00152",22,"On parasol1","keep",2.11273729893464,1.97261280985699,2,87
88,"exc","intensity","2016/09/13","00152",22,"On parasol1","keep",-23.1917866843342,2.71141559197831,2,88
89,"cell-attach","image","2016/09/13","00152",23,"On parasol1","keep",1.85672422226805,1.27072684600186,2,89
90,"exc","image","2016/09/13","00152",23,"On parasol1","keep",-28.1976450984354,8.55640091056201,2,90
91,"cell-attach","intensity","2016/09/13","00152",23,"On parasol1","keep",-1.13518182561096,0.61892501894776,2,91
92,"exc","intensity","2016/09/13","00152",23,"On parasol1","keep",-10.0108792266521,2.28923573951801,2,92
93,"cell-attach","image","2016/09/13","00152",24,"On parasol1","keep",0.452492347648921,0.570182710984854,2,93
94,"exc","image","2016/09/13","00152",24,"On parasol1","keep",-4.31481297390941,2.92864145631496,2,94
95,"cell-attach","intensity","2016/09/13","00152",24,"On parasol1","keep",-0.0637246884689127,0.0657382505523698,2,95
96,"exc","intensity","2016/09/13","00152",24,"On parasol1","keep",-8.27132066394176,2.98225069535215,2,96
97,"cell-attach","image","2016/09/13","00152",25,"On parasol1","keep",0.820443061550081,2.32864633192581,2,97
98,"exc","image","2016/09/13","00152",25,"On parasol1","keep",2.64754242162827,2.69506861945209,2,98
99,"cell-attach","intensity","2016/09/13","00152",25,"On parasol1","keep",-0.864832777725426,0.957030504783388,2,99
100,"exc","intensity","2016/09/13","00152",25,"On parasol1","keep",-4.91801926109503,1.53685734760714,2,100
101,"cell-attach","image","2016/09/13","00152",26,"On parasol1","keep",3.12175028170151,1.94927889242163,2,101
102,"exc","image","2016/09/13","00152",26,"On parasol1","keep",-7.06033750212245,3.83440660923007,2,102
103,"cell-attach","intensity","2016/09/13","00152",26,"On parasol1","keep",0.257158958194355,0.371722245916241,2,103
104,"exc","intensity","2016/09/13","00152",26,"On parasol1","keep",-6.18480991808453,2.67164628679842,2,104
105,"cell-attach","image","2016/09/13","00152",27,"On parasol1","keep",6.44781950367406,7.18643556195073,2,105
106,"exc","image","2016/09/13","00152",27,"On parasol1","keep",-107.808412528523,9.98152244480161,2,106
107,"cell-attach","intensity","2016/09/13","00152",27,"On parasol1","keep",4.97655846268857,3.84133369725894,2,107
108,"exc","intensity","2016/09/13","00152",27,"On parasol1","keep",-89.8686521776611,13.1714959946408,2,108
109,"cell-attach","image","2016/09/13","00152",28,"On parasol1","keep",2.67008403345421,1.85385901490338,2,109
110,"exc","image","2016/09/13","00152",28,"On parasol1","keep",-47.9198467562504,15.6733624575149,2,110
111,"cell-attach","intensity","2016/09/13","00152",28,"On parasol1","keep",-0.774666040754685,0.770020585591692,2,111
112,"exc","intensity","2016/09/13","00152",28,"On parasol1","keep",2.97931098656238,1.58480971422207,2,112
113,"cell-attach","image","2016/09/13","00152",29,"On parasol1","keep",1.58876597669948,0.875668928861041,2,113
114,"exc","image","2016/09/13","00152",29,"On parasol1","keep",-32.6328423871298,13.6270587775375,2,114
115,"cell-attach","intensity","2016/09/13","00152",29,"On parasol1","keep",2.03473618516536,1.99533158972944,2,115
116,"exc","intensity","2016/09/13","00152",29,"On parasol1","keep",-3.49639156396034,1.82266697681996,2,116
117,"cell-attach","image","2016/09/13","00152",30,"On parasol1","keep",1.58795433598077,0.984209814490152,2,117
118,"exc","image","2016/09/13","00152",30,"On parasol1","keep",-20.1338937635341,4.66540245050874,2,118
119,"cell-attach","intensity","2016/09/13","00152",30,"On parasol1","keep",1.32656297867223,1.23918632411669,2,119
120,"exc","intensity","2016/09/13","00152",30,"On parasol1","keep",-8.24560287556837,2.12145624131293,2,120
1,"cell-attach","image","2016/09/13","00152",1,"On parasol2","keep",4.22328388540074,3.15404207051536,3,1
2,"exc","image","2016/09/13","00152",1,"On parasol2","keep",-238.441253529378,31.8164541736768,3,2
3,"cell-attach","intensity","2016/09/13","00152",1,"On parasol2","keep",4.52355226122258,3.09960893395623,3,3
4,"exc","intensity","2016/09/13","00152",1,"On parasol2","keep",-219.552937759905,11.4474115925098,3,4
5,"cell-attach","image","2016/09/13","00152",2,"On parasol2","keep",-0.659112628260452,0.876459505515325,3,5
