id,currentBarWidth,splitOnRecType,stimulusTag,currentAbsContrast,currentMeanLevel,splitOnExperimentDate,celllabel,splitOnDelTag,backgroundIntensity,rfSigmaCenter,MeanRespOn,SEM,nodeid,leafid
118,100,"cell-attach","intensity",0.1,0.3,"2017/01/12","Cell","keep",0.2,58,9.99500249875062,0,2,118
119,100,"exc","intensity",0.1,0.3,"2017/01/12","Cell","keep",0.2,58,-78.1858617408267,0,2,119
120,100,"inh","intensity",0.1,0.3,"2017/01/12","Cell","keep",0.2,58,-7.18087147259868,0,2,120
121,-100,"cell-attach","grating",0.1,0.4,"2017/01/12","Cell","keep",0.2,58,34.9800099950026,0,2,121
122,-100,"exc","grating",0.1,0.4,"2017/01/12","Cell","keep",0.2,58,-302.327337876616,0,2,122
123,-100,"inh","grating",0.1,0.4,"2017/01/12","Cell","keep",0.2,58,-1.90976282542096,0,2,123
124,-100,"cell-attach","intensity",0.1,0.4,"2017/01/12","Cell","keep",0.2,58,39.9800099950027,0,2,124
125,-100,"exc","intensity",0.1,0.4,"2017/01/12","Cell","keep",0.2,58,-290.667167329156,0,2,125
126,-100,"inh","intensity",0.1,0.4,"2017/01/12","Cell","keep",0.2,58,14.1223435887634,0,2,126
127,-73.3333333333333,"cell-attach","grating",0.1,0.4,"2017/01/12","Cell","keep",0.2,58,54.9725137431284,0,2,127
128,-73.3333333333333,"exc","grating",0.1,0.4,"2017/01/12","Cell","keep",0.2,58,-285.738443645903,0,2,128
129,-73.3333333333333,"inh","grating",0.1,0.4,"2017/01/12","Cell","keep",0.2,58,-23.5197282538199,0,2,129
130,-73.3333333333333,"cell-attach","intensity",0.1,0.4,"2017/01/12","Cell","keep",0.2,58,39.9800099950025,0,2,130
131,-73.3333333333333,"exc","intensity",0.1,0.4,"2017/01/12","Cell","keep",0.2,58,-323.893191203078,0,2,131
132,-73.3333333333333,"inh","intensity",0.1,0.4,"2017/01/12","Cell","keep",0.2,58,-28.0876803936966,0,2,132
133,-46.6666666666667,"cell-attach","grating",0.1,0.4,"2017/01/12","Cell","keep",0.2,58,21.0299297716817,28.9450827220715,2,133
134,-46.6666666666667,"exc","grating",0.1,0.4,"2017/01/12","Cell","keep",0.2,58,-282.293510123772,0,2,134
135,-46.6666666666667,"inh","grating",0.1,0.4,"2017/01/12","Cell","keep",0.2,58,-53.5005446235506,0,2,135
136,-46.6666666666667,"cell-attach","intensity",0.1,0.4,"2017/01/12","Cell","keep",0.2,58,22.1635303478555,22.8114821458976,2,136
137,-46.6666666666667,"exc","intensity",0.1,0.4,"2017/01/12","Cell","keep",0.2,58,-289.426225675754,0,2,137
138,-46.6666666666667,"inh","intensity",0.1,0.4,"2017/01/12","Cell","keep",0.2,58,-11.7378344767897,0,2,138
139,-20,"cell-attach","grating",0.1,0.4,"2017/01/12","Cell","keep",0.2,58,14.4169279454121,15.5655808002153,2,139
140,-20,"exc","grating",0.1,0.4,"2017/01/12","Cell","keep",0.2,58,-255.312239127504,0,2,140
141,-20,"inh","grating",0.1,0.4,"2017/01/12","Cell","keep",0.2,58,-1.27704635503968,0,2,141
142,-20,"cell-attach","intensity",0.1,0.4,"2017/01/12","Cell","keep",0.2,58,22.1491477297399,22.825864764013,2,142
143,-20,"exc","intensity",0.1,0.4,"2017/01/12","Cell","keep",0.2,58,-405.413276263512,0,2,143
144,-20,"inh","intensity",0.1,0.4,"2017/01/12","Cell","keep",0.2,58,-89.871689200066,0,2,144
145,-20,"cell-attach","grating",0.25,0.4,"2017/01/12","Cell","keep",0.2,58,44.9775112443777,0,2,145
146,-20,"exc","grating",0.25,0.4,"2017/01/12","Cell","keep",0.2,58,-245.114189577204,0,2,146
