id,splitOnRecType,splitOnExperimentDate,celllabel,currentSpotContrast,splitOnDelTag,backgroundIntensity,MeanRespOn,SEM,nodeid,leafid
6,"exc","2016/10/11","Cell1",0.125,"keep",0.2,-33.7433636676582,5.35100518303537,6,6
7,"exc","2016/10/11","Cell1",0.25,"keep",0.2,-79.4455906617437,9.14365701557555,6,7
8,"exc","2016/10/11","Cell1",0.5,"keep",0.2,-202.892114022562,32.420053137508,6,8
9,"exc","2016/10/11","Cell1",0.75,"keep",0.2,-326.143446295129,48.1081148221838,6,9
10,"exc","2016/10/11","Cell1",0.9,"keep",0.2,-370.904327072135,51.8414158491572,6,10
1,"exc","2016/10/11","Cell2",-0.9,"keep",0.2,378.382526715745,21.0565288349308,7,1
2,"inh","2016/10/11","Cell2",-0.9,"keep",0.2,4187.86813981792,143.613963779213,7,2
3,"exc","2016/10/11","Cell2",-0.75,"keep",0.2,352.611413925993,23.1489316314535,7,3
4,"inh","2016/10/11","Cell2",-0.75,"keep",0.2,3541.78772242199,0,7,4
5,"exc","2016/10/11","Cell2",-0.5,"keep",0.2,321.297032883211,9.71912094439986,7,5
6,"inh","2016/10/11","Cell2",-0.5,"keep",0.2,2898.22602462917,0,7,6
7,"exc","2016/10/11","Cell2",-0.25,"keep",0.2,206.426309282595,16.436958181361,7,7
8,"inh","2016/10/11","Cell2",-0.25,"keep",0.2,1454.73900000882,0,7,8
9,"exc","2016/10/11","Cell2",-0.125,"keep",0.2,99.0484809727707,4.69831119389959,7,9
10,"inh","2016/10/11","Cell2",-0.125,"keep",0.2,324.899701956245,0,7,10
11,"exc","2016/10/11","Cell2",0.125,"keep",0.2,-104.63563506986,16.174222079564,7,11
12,"inh","2016/10/11","Cell2",0.125,"keep",0.2,-99.0307027505174,0,7,12
13,"exc","2016/10/11","Cell2",0.25,"keep",0.2,-227.68859768244,17.595715380851,7,13
14,"inh","2016/10/11","Cell2",0.25,"keep",0.2,-155.923847883519,0,7,14
15,"exc","2016/10/11","Cell2",0.5,"keep",0.2,-472.644033561153,55.096410459369,7,15
16,"inh","2016/10/11","Cell2",0.5,"keep",0.2,-137.598328265516,0,7,16
17,"exc","2016/10/11","Cell2",0.75,"keep",0.2,-640.043346680857,64.0359717647049,7,17
18,"inh","2016/10/11","Cell2",0.75,"keep",0.2,-180.989202700713,0,7,18
19,"exc","2016/10/11","Cell2",0.9,"keep",0.2,-778.305432664194,72.8623114529355,7,19
20,"inh","2016/10/11","Cell2",0.9,"keep",0.2,-239.100390371588,0,7,20
1,"exc","2016/10/11","Cell3",-0.9,"keep",0.2,250.119927480698,35.2410566217132,8,1
2,"inh","2016/10/11","Cell3",-0.9,"keep",0.2,4973.61631936174,313.642395416135,8,2
3,"exc","2016/10/11","Cell3",-0.75,"keep",0.2,247.972739598954,24.6250194239833,8,3
4,"inh","2016/10/11","Cell3",-0.75,"keep",0.2,4417.85371688524,215.482920936708,8,4
5,"exc","2016/10/11","Cell3",-0.5,"keep",0.2,202.708309394839,21.1262231057418,8,5
6,"inh","2016/10/11","Cell3",-0.5,"keep",0.2,3251.38713502903,69.5140842195481,8,6
